,title,descriptionskills,skills,Code,intrest
65,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","DevOps, designing, CSS, HTML, Angular, testing, coding, debugging, React, TypeScript, , version tools, Angular, debug , Git, JavaScript,  reviews, Computer Science, ,,Determining, JSX , UX, AngularWrite",15-1254.00,Conventional
66,Data Analyst,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.","analytics, Analyz , SSIS, designing, data governance, visualization, management, databases, BI, Designing, database, visualization, data models, data storage, data analytics, database management, STATISTICA, ArabiaConduct Analyze, dashboards, data mining, data analysis, SQL Server, Google Analytics, Power BI, AUTO, ETL, Microsoft SQL Server",13-2099.01,Conventional
67,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","JavaScript, CSS, HTML, debug Modula, coding, Angular, JavaScript, DevOps, TypeScript , debug , , Git",15-1254.00,Conventional
68,Python Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",", testing Dig  , testing , data between, Python Web Developer, ",15-1252.00,
69,Business Analyst,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.","designing eQuest, Sales, designing Objective C , test, FRS, business administration, SRS, testing, Designing, business analysis, Analyz , IT, sales, testing, information technology",13-1111.00,Investigative
70,Android Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","data modeling,  reviews, Kotlin, Android Studio, Android, Android, APIs Analyze, Analyz , Java, Android SDK, , APIs , unit testing, ",15-1252.00,
71,Technical Support Engineer,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","interpersonal skills , interpersonal skills Self , test",15-1232.00,Realistic
72,React.js Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","continuous integration, ReactJS, software development solve problems , FullStack, React, designing, testing, JavaScript, debugging, IT, designing, , engineering, unit testing, software development",15-1254.00,Conventional
73,Account Manager,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","sales eQuest, eXe , sales Objective C",11-2011.00,Enterprising
74,PHP Website Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications."," , PHPResponsibilitiesUpdating, testing, PHP, information technology",15-1254.00,Conventional
75,Business Analyst,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.","Sales, designing Objective C , SRS, FRS, business administration, SRS, testing, business analysis, designing Analyze, Analyz , IT, sales, Objective C, testing, information technology",13-1111.00,Investigative
76,Implementer,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.","ERP, database, business, Reports, testing, dashboards, business, sales, Sales , Change Request",15-1299.01,Conventional
77,Network Administrator,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.","Cloud, Linux, MS, IT security, IT, Google Apps, computer systems, FortiGate plan , data migration, IT, FortiGate eQuest",15-1244.00,Investigative
78,Pattern Developer,"Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.","AI, analytics, Good communication skills, Android, cloud , Android, APIs, testing, coding, , debug , Highly motivated , Git, software development, CICD , unit test, test, debug",51-4062.00,Realistic
79,Hair Specialist,"Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.","database, timesheets, Oracle, Analyz , IT eXe , IT Analyze, , Oracle, finance",39-5012.00,Artistic
80,Sales Account Manager,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","computer security resolve conflicts , Sales, sales, computer security , Sales, IT",11-2022.00,Enterprising
81,System Administrator,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.","Linux, continuous integration, CICD, Linux, cloud, Amazon EC, IT eQuest , databases, cloud, MySQL, IT, VMware, AWS, AWS services, Configuration Management eXe , Configuration Management",15-1242.00,Conventional
82,Gas Engineer,"Operate steam-, gas-, electric motor-, or internal combustion-engine driven compressors. Transmit, compress, or recover gases, such as butane, nitrogen, hydrogen, and natural gas.","eXe, Analyz , designing, eXe , regression, management, C, fintech C, Android, testing, debugging, Java, , fintech Analyze, designing, regression, version control, German, software engineering, software development, test, JS, healthcare",53-7071.00,Realistic
83,Software Applications Specialist,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","Sales , sales",15-1252.00,
84,System Administrator,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.","Linux, storage administration, VPN, Windows Server, test, computer systems, implement analytics, Deep security, IT, VMware, DNS, DHCP, Windows, CRM, ERP systems Objective C , IT systems, VPN",15-1242.00,Conventional
85,Product Manager,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","Prototyping, Designing, data analysis Go , UX, data analysis MarketSharp , Digital Products",11-2021.00,Enterprising
86,Technical Support Engineer,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","make decisions, Healthcare, IT ERP software, IT eQuest , computer software, computer systems, sales, sales, solve problems",15-1232.00,Realistic
87,C Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","BIRTCreate, Designing, Dashboards, Reports, , data analytics, business intelligence, Cognos, BI, business analysis, Analyz , unit testing, designing, sales, KPIsCrafting, dashboards, database IBM Cognos",15-1252.00,
88,Software Engineer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","database integration, AI, C, Strong communication, Analyz , designing, , Angular, Laravel, Android, software systems, procedures,, Designing, testing, Software Engineering, coding, NET, Lambda, Designing, , S, Programming languages, React, voice services, teamwork, AWS services, Git, software development, Robotics,  reviews, debug, test, test automation Analyze, version control, highly motivated, Product Management, IT, sales, PHP",15-1252.00,
89,iOS Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","UI UX, Designing , designing, Designing",15-1252.00,
90,.NET Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","SQL  Analyze, Analyz , ASP, Web API, C, communication skills, database, Information Systems  , APIs, year, MVC, Computer Science,  reviews, Software Engineering, Computer Science, ASPNET, Web Services",15-1252.00,
91,Support Technician,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","years, IOC, ERP , eQuest, Computer Science, computer systems, Testing, RelationshipPersonal, LAN software, Software AG , Computer, Windows, problemswith networks, testing, WorkTechnical ADP software",15-1232.00,Realistic
92,Application Support Engineer,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","test, database, databases eXe , databases eQuest",15-1232.00,Realistic
93,Oracle Database Administrator,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.","Database Oracle Database, maintain SQL, PLSQL, , database , Shell script , Oracle, Database, IT, database, , Oracle",15-1242.00,Conventional
94,Software Quality Tester,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","Tracks Software , test, software testing eXe",15-1253.00,Investigative
95,Python Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","Designing, CICD, JavaScript, coding , CSS, debugging, HTML, debugging, data services, PHP, coding PHP , , Git",15-1252.00,
96,Network Security Engineer,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,"Change Management, Git , designing eQuest , Dig",15-1299.04,
97,Project Coordinator,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","risk management, decision making, risk management, communication skills",11-9021.00,Enterprising
98,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","SASS, Debug, jQuery, AJAX, software development Modula , analyze , , HTML, Angular, NPM, JSON, coding, Firefox, Safari, IE, HTML, Git, Javascript, software development, Debug , CSS",15-1254.00,Conventional
99,Software Quality Engineer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","regression Analyze, test, eXe, testing, Analyz , testing Analyze, AUTO",15-1252.00,
100,Pre-Sales Engineer,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.","VMware Analyze, VMware , computer systems, sales, Microsoft, Analyz , business development",41-9031.00,Enterprising
101,Testing Engineer,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.","Scheme , analytics, test, testing Software AG, regression, testing Objective C, SKILL",17-2071.00,Investigative
102,Data Engineer,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.","SQL, designing, big data eXe , ETL, data infrastructure",15-1243.00,Investigative
103,Python Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","automated testing, continuous integration,  reviews, cloud, Python, Google Kubernetes , testing, ",15-1252.00,
104,Soil Expert,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.","analyze data, Google Analytics, analytics , analytics, eXe, marketing Analyze, WordPress, SEO, Analyz , marketing, analyze data",19-1013.00,Realistic
105,Database Administrator (DBA),"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.","SQL, task automation, MicrosoftLinux, MongoDB, MySQL, Analyz , RDBMS, SSIS, DB, Oracle, Masters degree, SQL, databases, data infrastructure, data integration, database, TSQL, No SQL, SQL server, Data Warehousing, Azure Data Factory , computer science, PostgreSQL, analyze database, SQL Server, Database, Azure Data Factory Analyze , Data Modeling, Microsoft SQL server, Databases, IT, SSAS, ETL, storage media",15-1242.00,Conventional
106,Full Stack Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","data models,  reviews, , , , coding JavaScript, Typescript, TypeScript , , NodeJs, Javascript",15-1252.00,
107,Back End Engineer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","REST services, testing, Java, software development eXe , APIs , software development",15-1254.00,Conventional
108,Pattern Developer,"Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.","Good communication, debug, test, , Android, analytics, Good communication skills, APIs, Highly motivated SKILL , testing, coding, , Highly motivated , software development",51-4062.00,Realistic
109,Job Developer,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.","Python, Financial , test, Financial JavaScript",13-1071.00,Enterprising
110,Software Quality Engineer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","testing, UAT , debugging, UAT eXe , designing, testing",15-1252.00,
111,Application Support Engineer,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","designing , information applications, sales, testing, debugging, sales, designing, testing Go , ",15-1232.00,Realistic
112,Technical Clerk,"Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence.","coding Analyze, Dig, CICD, analyze briefs, Analyz , designing, Designing, AWS, , analyze briefs, Git",43-4021.00,Conventional
113,Network Systems Administrator,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.","data storage networks, solve problems, upgrade corporate, , computer systems, test Analyze, Analyz",15-1244.00,Investigative
114,Quality Assurance Specialist,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,"banking, test, IT, testing, UAT , IT, UserAccepted, regression",13-1041.04,Conventional
115,Infrastructure Engineer,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.","SMTP, Google cloud, Windows Server, IT, IT Systems, ADNetwork, IT Infrastructure , IT Infrastructure Software AG , DNS, Office services, Azure",15-1241.01,Realistic
116,Python Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team."," , PHPResponsibilitiesUpdating, testing, PHP, , testing eXe , information technology",15-1252.00,
117,Front End Web Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications."," , testing , testing, Designing, debugging, coding, ",15-1254.00,Conventional
118,Project Manager,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","Software Development, German, Android, JS, business analysis, healthcare, Analyz , business analysis, risk management C , Java, software engineering, risk management Analyze",11-9021.00,Enterprising
119,Software Engineer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","AI, database integration, C, Strong communication, Analyz , designing, , Angular, Android, software systems, testing, coding, NET, Lambda, Designing, G  , S, Programming languages, test automation Nodejs, React, voice services, teamwork, AWS services, Robotics, Git, software development,  reviews, debug, test, test automation Analyze, version control, highly motivated, Product Management",15-1252.00,
120,Section Hand,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators.","information technology, IT , computer systems eXe, computer systems, Analyz , IT",47-4061.00,Realistic
121,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","AI, Scala, designing, ResponsibilitiesPlanning, AI, Kafka, Elastic, CSS, HTML, Angular, testing, coding, debugging, Java, , AngularJS, Spring, REST WebServices, JavaScript, Docker , Postgres",15-1254.00,Conventional
122,Web Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","HTML, jQuery, HTML, CSS, JavaScript Analyze, WordPress, Analyz , Square, HTML, JavaScript Square , testing",15-1254.00,Conventional
123,Android Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","database , cloud, test, Android, analytics, test, APIs, Java, debugging, ",15-1252.00,
124,iOS Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","GIS, IT , testing, business analysis, , ",15-1252.00,
125,Full Stack Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","GitHub C ,  , CSS, HTML, Angular, Android, APIs, TypeScript , marketing, Java, Typescript, NET C, HTML, React, Angular, German, unit testing, GitHub, Javascript, JavaScript , Software Engineering, test , software services, JS, Scss xaGit",15-1252.00,
126,Target Developer,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.","Designing eQuest , Designing eQuest, testing, SKILL",15-1299.08,Investigative
127,Network Security Engineer,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,"PTES, IPS, cloud, Host IPS, IT, test, ADC, LAN, DNS Security, LAN, UTMs Analyze, IDS, Analyz , UTMs Analyz , designing, engineering",15-1299.04,
128,Server Administrator,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.","Linux, information technology, cloud, VMware, computer systems, VSAN technology Analyz , IntranetKnowledge, VSAN technology , VMware, database, Windows, ",15-1244.00,Investigative
129,Rug Designer,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.","UX testing, consistency , consistency AMPL, task flows, LAN software , designing, testing, designing, teamwork, UX, dashboards, testing",27-1021.00,Artistic
130,Software Applications Specialist,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","Sales , sales",15-1252.00,
131,Technical Support Specialist,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","Windows Software AG , computer systems, Windows Analyze, Analyz",15-1231.00,Realistic
132,DevOps Engineer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","CICD pipelines, Automate , DevOps, testing, DevOps, Automate, software engineering, software engineering AUTO",15-1252.00,
133,Back End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","management systems, SQL  yet ,  reviews, MS, NoSQL Currently, data security C, File management software, Java, coding, coding, database, , Jail management software, data security C , SKILL",15-1254.00,Conventional
134,Quality Control Engineer,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.","test automation, APIs, test, eXe, APIs, Analyz , machine learning Analyze, machine learning eXe , testing",17-2112.02,Investigative
135,Sales Account Manager,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","sales Analyze, eXe, sales, Analyz , Sales, Digital Marketing, Sales",11-2022.00,Enterprising
136,Application Developer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","debug Microsoft Dynamics GP , cloud, debug Scala , , designing, , designing, software development",15-1252.00,
137,Software Engineer,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team."," , automate, coding, Microsoft Technologies, database, Power Platform, designing,  eXe, coding, SKILL",15-1252.00,
138,Sales Engineer,"Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.","database , Sales, sales, designing, Marketing, CRM, sales",41-4011.00,Enterprising
139,Recruiter,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",IT,13-1071.00,Enterprising
140,Personnel Coordinator,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",,13-1071.00,Enterprising
141,SAP Consultant,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,"SystemsTight, FDA Go , analyze SAP, SAP, unit testing",15-2051.01,Investigative
142,SAP Business Analyst,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.","Git, Analyz , web analytics Analyze, Digital Product",15-1211.00,Investigative
143,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","coding ,  reviews, Angular, , AngularWrite",15-1254.00,Conventional
144,Help Desk Specialist,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","VMWare, computer software, computer systems eQuest , software installation, Windows Server , troubleshot, Microsoft distributed systems, DNS",15-1232.00,Realistic
